mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	1	4/4	1/2	1/2			1			firstMeasure	2
2	1	1	4/4	1	0							3
3	2	1	4/4	1	0							4
4	3	1	4/4	1	0					line		5
5	4	1	4/4	1	0							6
6	5	1	4/4	1	0							7
7	6	1	4/4	1	0							8
8	7	1	4/4	1	0					line		9
9	8	1	4/4	1	0							10
10	9	1	4/4	1	0							11
11	9	1	4/4	1	0			1				12
12	10	1	4/4	1	0					line		13
13	11	1	4/4	1	0							14
14	12	1	4/4	1	0							15
15	13	1	4/4	1	0							16
16	14	1	4/4	1	0					line		17
17	15	1	4/4	1	0							18
18	16	1	4/4	1	0							19
19	17	1	4/4	1	0							20
20	18	1	4/4	1	0					line		21
21	19	1	4/4	1	0							22
22	20	1	4/4	1	0							23
23	21	1	4/4	1	0							24
24	22	1	4/4	1	0							25
25	23	1	4/4	1	0				end		lastMeasure	-1
