mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	1	4/4	5/8	3/8			1			firstMeasure	2
2	1	1	4/4	1	0							3
3	2	1	4/4	1	0							4
4	3	1	4/4	1	0							5
5	4	1	4/4	1	0							6
6	5	1	4/4	3/8	0						end	1, 7
7	5	1	4/4	5/8	3/8			1	start-repeat		start	8
8	6	1	4/4	1	0							9
9	7	1	4/4	1	0							10
10	8	1	4/4	1	0							11
11	9	1	4/4	1	0							12
12	10	1	4/4	1	0							13
13	11	1	4/4	1	0							14
14	12	1	4/4	1	0							15
15	13	1	4/4	1	0							16
16	14	1	4/4	3/8	0						end	7, -1
