mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	3/8	6/8	2	2	1/4		1/4	1		-1	41	F2	2	6
1	0	0	0.5	0	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	3
1	0	0	0.5	0	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	0
1	0	1/2	0.5	1/8	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	4
1	0	1/2	0.5	1/8	1/2	6/8	1	1	1/8		1/8	1		4	76	E5	5	1
1	0	1	0.5	1/4	5/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	5
1	0	1	0.5	1/4	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	2
2	1	3/2	1.0	0	0	6/8	2	2	1/4		1/4	1		-1	41	F2	2	19
2	1	3/2	0.5	0	0	6/8	2	1	1/8		1/8	1		3	57	A3	3	13
2	1	3/2	0.5	0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	7
2	1	2	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	14
2	1	2	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	8
2	1	5/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		1	55	G3	3	15
2	1	5/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		4	76	E5	5	9
2	1	3	1.0	3/8	3/8	6/8	2	2	1/4		1/4	1		-1	41	F2	2	20
2	1	3	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	16
2	1	3	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	10
2	1	7/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	17
2	1	7/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		4	76	E5	5	11
2	1	4	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	18
2	1	4	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	12
3	2	9/2	1.0	0	0	6/8	2	2	1/4		1/4	1		-1	41	F2	2	31
3	2	9/2	0.5	0	0	6/8	2	1	1/8		1/8	1		3	57	A3	3	25
3	2	9/2	1.0	0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	21
3	2	5	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		1	55	G3	3	26
3	2	11/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		-1	53	F3	3	27
