mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	1	1		g.i{	g	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	2.0	1/2	1/2	4/4	1	1		v6	g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	4	4	2.0	0	0	4/4	1	1		ii%43	g	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
2	2	6	6	2.0	1/2	1/2	4/4	1	1		ii%65	g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	3	8	8	2.0	0	0	4/4	1	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
3	3	10	10	2.0	1/2	1/2	4/4	1	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	12	12	2.0	0	0	4/4	1	1		ii%7	g	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
4	4	14	14	2.0	1/2	1/2	4/4	1	1		V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	16	16	3.0	0	0	4/4	1	1		i|IAC}	g	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
5	5	18	18	0.0	1/2	1/2	4/4	1	1		{	g	i									{		1	1				
5	5	19	19	1.0	3/4	3/4	4/4	1	1		i2	g	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
6	6	20	20	2.0	0	0	4/4	1	1		VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	22	22	2.0	1/2	1/2	4/4	1	1		iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	24	24	2.0	0	0	4/4	1	1		III.V	g	III		V	V							M	1	0	1, 5, 2		1	1
7	7	26	26	2.0	1/2	1/2	4/4	1	1		I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
8	8	28	28	2.0	0	0	4/4	1	1		vi7	g	III		vi7	vi		7					mm7	1	0	3, 0, 4, 1		3	3
8	8	30	30	2.0	1/2	1/2	4/4	1	1		ii	g	III		ii	ii							m	1	0	2, -1, 3		2	2
9	9	32	32	2.0	0	0	4/4	1	1		V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
9	9	34	34	2.0	1/2	1/2	4/4	1	1		I64	g	III		I64	I		64					M	1	0	1, 0, 4		0	1
10	10	36	36	2.0	0	0	4/4	1	1		i.#vi%7	g	i		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
