mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/8	Tempo	4/4	1	1	0								 = 90	90					
1	0	0	0.5	0	3/8	Chord	4/4	1	1	1/8			1/8	1	0									
1	0	1/2	0.5	1/8	1/2	Chord	4/4	1	1	1/8			1/8	1	1	ornamentShortTrill								
1	0	1	0.25	1/4	5/8	Chord	4/4	1	1	1/16			1/16	1	2									
1	0	5/4	0.25	5/16	11/16	Chord	4/4	1	1	1/16			1/16	1	3									
1	0	3/2	0.5	3/8	3/4	Chord	4/4	1	1	1/8			1/8	1	4									
1	0	2	0.5	1/2	7/8	Chord	4/4	1	1	1/8			1/8	1	5									
1	0	1/2	1.0	1/8	1/2	Chord	4/4	2	1	1/4			1/4	1	6									
2	1	5/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	7									
2	1	3	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	8									
2	1	13/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	9									
2	1	7/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	10									
2	1	4	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	11									
2	1	9/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	12									
2	1	5	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	13									
2	1	21/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	14									
2	1	11/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	15									
2	1	6	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	16									
2	1	5/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	6			
2	1	5/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	17									
2	1	9/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	7			
2	1	9/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	18									
2	1	11/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	6			
3	2	13/2	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	19	ornamentShortTrill								
3	2	27/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	20									
3	2	7	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	21									
3	2	29/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	22									
3	2	15/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	23									
3	2	31/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	24									
3	2	8	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	25									
3	2	33/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	26									
3	2	17/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	27									
3	2	9	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	28	ornamentShortTrill								
3	2	37/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	29									
3	2	19/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	30	ornamentShortTrill								
3	2	41/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	31									
3	2	13/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	7			
3	2	13/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	32									
3	2	15/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	6	4_		
3	2	8	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	33									
3	2	33/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	34									
