mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/4	StaffText	6/4	1	1	0							Pesament							
1	0	0	0.0	0	3/4	Tempo	6/4	1	1	0								 = 100	100					
1	0	0	2.0	0	3/4	Chord	6/4	1	1	1/2			1/2	1	0	ornamentShortTrill								
1	0	2	1.0	1/2	5/4	Chord	6/4	1	1	1/4			1/4	1	1									
1	0	0	2.0	0	3/4	Chord	6/4	2	1	1/2			1/2	1	2									
1	0	2	0.0	1/2	5/4	FiguredBass	6/4	2	1	0										1/4	6			
1	0	2	1.0	1/2	5/4	Chord	6/4	2	1	1/4			1/4	1	3									
2	1	3	1.5	0	0	Chord	6/4	1	1	3/8			1/4	3/2	4									
2	1	9/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8			1/8	1	5									
2	1	5	1.0	1/2	1/2	Chord	6/4	1	1	1/4			1/4	1	6									
2	1	6	1.0	3/4	3/4	Chord	6/4	1	1	1/4			1/4	1	7									
2	1	7	0.0	1	1	Chord	6/4	1	1	0	grace8after		1/8	1	8									
2	1	7	0.0	1	1	Chord	6/4	1	1	0	grace8after		1/8	1	9									
2	1	7	2.0	1	1	Chord	6/4	1	1	1/2			1/2	1	10	ornamentShortTrill								
2	1	3	0.0	0	0	FiguredBass	6/4	2	1	0										3/4	6_			
2	1	3	1.5	0	0	Chord	6/4	2	1	3/8			1/4	3/2	11									
2	1	9/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8			1/8	1	12									
2	1	5	1.0	1/2	1/2	Chord	6/4	2	1	1/4			1/4	1	13									
2	1	6	1.0	3/4	3/4	Chord	6/4	2	1	1/4			1/4	1	14									
2	1	7	0.0	1	1	FiguredBass	6/4	2	1	0										1/2	6			
2	1	7	2.0	1	1	Chord	6/4	2	1	1/2			1/2	1	15									
3	2	9	2.0	0	0	Chord	6/4	1	1	1/2			1/2	1	16									
3	2	11	1.0	1/2	1/2	Chord	6/4	1	1	1/4			1/4	1	17									
3	2	12	1.0	3/4	3/4	Chord	6/4	1	1	1/4			1/4	1	18									
3	2	13	0.0	1	1	Chord	6/4	1	1	0	grace8after		1/8	1	19									
3	2	13	0.0	1	1	Chord	6/4	1	1	0	grace8after		1/8	1	20									
3	2	13	2.0	1	1	Chord	6/4	1	1	1/2			1/2	1	21	ornamentShortTrill								
3	2	9	2.0	0	0	Chord	6/4	2	1	1/2			1/2	1	22									
3	2	11	0.0	1/2	1/2	FiguredBass	6/4	2	1	0										1/4	6			
3	2	11	1.0	1/2	1/2	Chord	6/4	2	1	1/4			1/4	1	23									
3	2	12	0.0	3/4	3/4	FiguredBass	6/4	2	1	0										1/4	6	4	3	
3	2	12	1.0	3/4	3/4	Chord	6/4	2	1	1/4			1/4	1	24									
