mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	1/2	StaffText	3/4	1	1	0							Nobelement							
1	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								𝅘𝅥 = 80	80					
1	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4			1/4	1	0									
1	0	0	0.5	0	1/2	Chord	3/4	2	1	1/8			1/8	1	1									
1	0	1/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8			1/8	1	2									
2	1	1	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	3	ornamentMordent								
2	1	5/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	4									
2	1	3	0.0	1/2	1/2	Chord	3/4	1	1	0	appoggiatura		1/8	1	5									
2	1	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	6									
2	1	1	0.0	0	0	FiguredBass	3/4	2	1	0										1/4	6			
2	1	1	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	7									
2	1	2	0.0	1/4	1/4	FiguredBass	3/4	2	1	0										1/4	5/			
2	1	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	8									
2	1	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	9									
3	2	4	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	10	ornamentShortTrill								
3	2	5	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	11									
3	2	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	12									
3	2	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	13	ornamentMordent								
3	2	4	0.0	0	0	FiguredBass	3/4	2	1	0										1/2	3_			
3	2	4	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	14									
3	2	11/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	15									
3	2	6	0.0	1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6_			
3	2	6	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12			1/8	2/3	16									0
3	2	19/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12			1/8	2/3	17									0
